,source_id,Kids
2501,271851,1.0
2503,295541,1.0
2504,70796,1.0
2505,270012,1.0
2506,285097,1.0
2507,274881,1.0
2508,277566,1.0
2512,270824,1.0
2513,50981,1.0
2516,270588,1.0
2522,278083,1.0
2523,270585,1.0
2526,296074,1.0
2527,289526,1.0
2530,282996,1.0
2531,296931,1.0
2533,266387,1.0
2534,261501,1.0
2536,276019,2.0
2539,293159,1.0
2541,68449,1.0
2542,276231,2.0
2545,277682,2.0
2549,68140,1.0
2550,252079,1.0
2552,268942,2.0
2554,291850,1.0
2555,286299,1.0
2556,293915,1.0
2557,291738,1.0
2560,288389,1.0
2561,260382,1.0
2562,264663,1.0
2563,273648,1.0
2567,55737,1.0
2569,63699,1.0
2570,47479,1.0
2572,292326,2.0
2573,259555,1.0
2574,64332,1.0
2575,275256,2.0
2581,279689,1.0
2582,40858,1.0
2583,287464,1.0
2585,256666,1.0
2586,260195,1.0
2587,49867,1.0
2589,269707,1.0
2590,270597,1.0
2594,64957,1.0
2595,250957,1.0
2597,290227,1.0
2598,45180,1.0
2599,262747,1.0
2600,278567,1.0
2601,249325,2.0
2602,269708,2.0
2604,274429,1.0
2605,292322,1.0
2607,269030,2.0
2608,61316,1.0
2610,267691,1.0
2611,265645,2.0
2614,251233,2.0
2615,295195,1.0
2616,289757,1.0
2619,262589,1.0
2620,268847,1.0
2621,276202,1.0
2622,255379,2.0
2623,256476,1.0
2626,248171,1.0
2629,265579,1.0
2630,268034,1.0
2631,274014,2.0
2632,266977,1.0
2636,49416,1.0
2639,53338,2.0
2640,62444,1.0
2642,281014,1.0
2643,257933,1.0
2646,50365,1.0
2647,47048,1.0
2649,271697,1.0
2653,285356,1.0
2655,274014,2.0
2656,282576,1.0
2658,266284,1.0
2659,43158,1.0
